clade_id,label,representative,n,mean_intra_tm,mean_inter_tm,top_kingdom,top_kingdom_frac,top_reaction_label,top_reaction_label_frac,reaction_label_perplexity,transitional_frac,bootstrap_support,is_unassigned
dtc_1,β1,marts_E00620_beta_0,614,0.9103863887900345,0.3829121386072145,Plants,1.0,sesq Class 1,0.49283667621776506,3.3053901095617664,0.9641693811074918,0.02,False
dtc_2,α1,marts_E01427_alpha_0,464,0.9304271895622207,0.5165269175760832,Plants,1.0,sesq Class 1,0.6122448979591837,2.3367744331412807,0.9978448275862069,0.38,False
dtc_3,α2,marts_E01496_alpha_0,212,0.8868143252952901,0.5305885265544064,Fungi,0.45754716981132076,sesq Class 1,0.6796536796536796,2.355908307163643,0.8962264150943396,0.0,False
dtc_4,α3,marts_E00129_alpha_0,193,0.925461830701716,0.5619871166414724,Plants,0.9844559585492227,di Class 1,0.4479638009049774,3.3831031164922782,0.9585492227979274,0.01,False
dtc_5,α4,marts_E00019_ids_0,103,0.9447252045574978,0.4800611024074517,Fungi,0.9320388349514563,pt,0.5964912280701754,2.814320283692213,0.009708737864077669,0.76,False
dtc_7,ε1,marts_E00407_epsilon_0,96,0.9397439692319878,0.3403500009181097,Plants,0.8229166666666666,tri Class 2,0.96875,1.172281518974869,0.0,1.0,False
dtc_6,δ1,marts_E00531_delta_0,96,0.9549116447069361,0.4228047989986716,Plants,0.8229166666666666,tri Class 2,0.96875,1.172281518974869,0.0,1.0,False
dtc_8,γ1,marts_E00888_gamma_0,92,0.9438627806169884,0.42087760636590427,Plants,0.967391304347826,di Class 2,0.6434782608695652,2.6528729094963133,0.16304347826086957,0.04,False
dtc_9,β2,marts_E00969_beta_0,72,0.9098983959147104,0.4972040091822942,Plants,1.0,di Class 1,0.8441558441558441,1.7021818107178852,0.09722222222222222,0.96,False
dtc_10,γ2,marts_E01505_gamma_0,58,0.9323996974414072,0.4310723977847397,Plants,1.0,di Class 1,0.8983050847457628,1.4544255135546191,0.15517241379310345,0.68,False
dtc_11,α5,marts_E01429_alpha_0,53,0.8870635704704023,0.5449202468698424,Plants,1.0,di Class 2,1.0,1.0,0.1320754716981132,1.0,False
dtc_12,α6,marts_E00379_ids_0,42,0.9345153309502539,0.49750165314648553,Animals,0.3333333333333333,pt,0.6938775510204082,2.5484374174000277,0.0,1.0,False
dtc_13,α7,marts_E00574_ids_0,41,0.9189981706228914,0.49329170676590417,Bacteria,0.43902439024390244,pt,0.975609756097561,1.1214979894043937,0.14634146341463414,0.62,False
dtc_14,α8,marts_E01275_alpha_0,28,0.8694359787340059,0.5544686238165242,Bacteria,0.5714285714285714,sesq Class 1,0.5,2.5457771405860634,1.0,0.0,False
dtc_15,α9,marts_E01210_alpha_0,23,0.928188142230506,0.516950840960776,Fungi,1.0,pt,0.5,2.187085065508626,0.17391304347826086,0.66,False
dtc_16,δ2,marts_E00566_delta_0,20,0.8410473679063695,0.4503890839233951,Fungi,0.55,di Class 2,0.6206896551724138,2.438479520266363,0.35,0.21,False
dtc_17,α10,marts_E01306_alpha_0,20,0.888575789832363,0.5539881761441581,Protists,0.85,sesq Class 1,0.5483870967741935,2.60815607661624,0.55,0.0,False
dtc_18,α11,marts_E00491_ids_0,20,0.9060868421079297,0.4795068445557819,Bacteria,0.45,psy,0.6,3.127783626197224,0.0,1.0,False
dtc_19,β3,marts_E01481_beta_0,19,0.9062871343635938,0.4995075996831961,Plants,1.0,mono Class 1,0.53125,2.399496535604287,0.5263157894736842,0.0,False
dtc_20,α12,marts_E00828_alpha_0,18,0.9259901959395791,0.5275141182594631,Fungi,1.0,pt,0.4864864864864865,3.2023352937101253,0.2777777777777778,0.57,False
dtc_22,α14,marts_E00881_alpha_0,17,0.9321286763023475,0.5510231729652318,Animals,1.0,sesq Class 1,0.41935483870967744,2.856713324433877,0.0,1.0,False
dtc_21,α13,marts_E00554_ids_0,17,0.9291970588143587,0.4924987943093312,Plants,0.5882352941176471,sqs,0.8888888888888888,1.4174111811317323,0.0,1.0,False
dtc_23,α15,marts_E00858_alpha_0,17,0.8833352938013644,0.5089285330901008,Fungi,0.8823529411764706,sesq Class 1,0.8421052631578947,1.5467598527614164,0.0,1.0,False
dtc_24,α16,marts_E00897_alpha_0,14,0.8806076924429163,0.5246256379111008,Fungi,1.0,pt,0.41379310344827586,3.2887114898669947,1.0,0.05,False
dtc_25,γ3,marts_E00919_gamma_0,12,0.9134212114802336,0.43304546930055277,Fungi,0.8333333333333334,di Class 2,0.55,2.3282414889191574,0.3333333333333333,0.25,False
dtc_26,α17,marts_E00106_alpha_0,10,0.8787088892074988,0.5221532270725374,Fungi,0.9,di Class 1,0.5294117647058824,1.996540789103284,0.1,0.9,False
dtc_27,α18,marts_E01534_ids_0,7,0.9357952381528559,0.44674987010789735,Bacteria,0.7142857142857143,di Class 1,1.0,1.0,0.0,1.0,False
dtc_29,α19,marts_E00014_alpha_0,6,0.9546266668165724,0.5483704530144795,Animals,1.0,mono Class 1,0.38461538461538464,3.3881436186104086,0.0,1.0,False
dtc_28,γ4,marts_E00155_gamma_0,6,0.9556733333893741,0.4363372639969502,Plants,1.0,di Class 1,1.0,1.0,0.3333333333333333,0.74,False
dtc_31,α21,marts_E00972_alpha_0,5,0.931140000699088,0.5539346242669592,Bacteria,1.0,mono Class 1,0.8,1.6493848884661177,0.2,0.8181818181818182,False
dtc_32,α22,marts_E00998_alpha_0,5,0.9135500004515051,0.5228607763893884,Fungi,1.0,pt,0.45454545454545453,3.1970405217311133,0.2,0.5858585858585859,False
dtc_30,α20,marts_E00322_ids_0,5,0.9979599999802303,0.4948189428271487,Viruses,1.0,pt,1.0,1.0,0.0,1.0,False
dtc_34,γ5,marts_E00337_gamma_0,4,0.8375666663050652,0.4269374019235336,Bacteria,1.0,di Class 2,1.0,1.0,0.0,1.0,False
dtc_33,α23,marts_E00994_alpha_0,4,0.9260833331694206,0.5149447275906051,Fungi,1.0,pt,0.5,2.0,0.0,1.0,False
dtc_37,β4,marts_E00960_beta_0,3,0.9846000000834465,0.4961601622024606,Plants,1.0,mono Class 1,1.0,1.0,0.0,1.0,False
dtc_36,α25,marts_E00134_alpha_0,3,0.9873666667068998,0.5834938118729138,Plants,1.0,sester Class 1,1.0,1.0,0.0,1.0,False
dtc_38,α26,marts_E01327_ids_0,3,0.9623666666448116,0.5210398927605552,Bacteria,1.0,sesquar Class 1,0.375,3.7467482975009925,0.0,1.0,False
dtc_35,α24,marts_E01310_ids_0,3,0.9949333332479,0.5065856434884343,Bacteria,1.0,di Class 1,1.0,1.0,0.0,1.0,False
dtc_unassigned,unassigned,marts_E00254_zeta_0,2,0.9187000021338463,0.29618214435184126,,0.0,irrelevant,0.0,,0.0,,True
