RHEA_ID	DIRECTION	MASTER_ID	ID
10008	UN	10008	O17433
10008	UN	10008	O34564
10008	UN	10008	P0C0L2
10008	UN	10008	P0C0L3
10008	UN	10008	P23161
10008	UN	10008	P49537
10008	UN	10008	P52570
10008	UN	10008	Q01116
10012	UN	10012	P08159
10013	LR	10012	P08159
10016	UN	10016	Q3ZFI4
10020	UN	10020	O59711
10020	UN	10020	P38999
10020	UN	10020	Q54NG9
10020	UN	10020	Q9P4R4
10024	UN	10024	A3M0J3
10024	UN	10024	A5DQN2
10024	UN	10024	A6ZTB4
10024	UN	10024	A7TPV3
10024	UN	10024	A8XI75
10024	UN	10024	C6KTD2
10024	UN	10024	O44498
10024	UN	10024	O44757
10024	UN	10024	O64827
10024	UN	10024	O74467
10024	UN	10024	P0CR42
10024	UN	10024	P0CR43
10024	UN	10024	P38890
10024	UN	10024	P93831
10024	UN	10024	Q4PBP5
10024	UN	10024	Q5A1M3
10024	UN	10024	Q5PP37
10024	UN	10024	Q63755
10024	UN	10024	Q6BSV3
10024	UN	10024	Q6C9E7
10024	UN	10024	Q6CX91
10024	UN	10024	Q6FTT0
10024	UN	10024	Q6SKR2
10024	UN	10024	Q75BF1
10024	UN	10024	Q7XJS0
10024	UN	10024	Q8GZ42
10024	UN	10024	Q945S8
10024	UN	10024	Q949T8
10024	UN	10024	Q95Y12
10024	UN	10024	Q9FG08
10024	UN	10024	Q9M1X9
10024	UN	10024	Q9M364
10024	UN	10024	Q9SRV2
10024	UN	10024	Q9SUE7
10024	UN	10024	Q9Y5N5
10024	UN	10024	Q9ZUM9
10025	LR	10024	A3M0J3
10025	LR	10024	A5DQN2
10025	LR	10024	A6ZTB4
10025	LR	10024	A7TPV3
10025	LR	10024	O74467
10025	LR	10024	P0CR42
10025	LR	10024	P0CR43
10025	LR	10024	P38890
10025	LR	10024	Q4PBP5
10025	LR	10024	Q5A1M3
10025	LR	10024	Q6BSV3
10025	LR	10024	Q6C9E7
10025	LR	10024	Q6CX91
10025	LR	10024	Q6FTT0
10025	LR	10024	Q6SKR2
10025	LR	10024	Q75BF1
10025	LR	10024	Q9Y5N5
10028	UN	10028	A0A499UB99
10028	UN	10028	A0A7E6FSU6
10028	UN	10028	A3KCL7
10028	UN	10028	A8WXM1
10028	UN	10028	C0HMB0
10028	UN	10028	C4R6B0
10028	UN	10028	D3ZDM7
10028	UN	10028	O01739
